,partida_id,rodata,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
15249,7625,36,Fortaleza,15,4,53.0,411,84.0,20,2,0,2,5
15250,7626,37,Bahia,14,6,37.0,285,74.0,14,2,1,0,11
15251,7626,37,Fluminense,9,1,63.0,512,87.0,20,5,1,1,3
15252,7628,37,Bragantino,18,11,38.0,361,85.0,10,2,0,0,3
15253,7628,37,Atletico-MG,13,6,62.0,580,87.0,5,1,0,1,5
15254,7627,37,Corinthians,11,3,72.0,633,90.0,7,1,0,3,2
15255,7627,37,Gremio,12,3,28.0,249,74.0,22,3,0,0,5
15256,7629,37,America-MG,18,1,47.0,329,71.0,13,2,0,2,3
15257,7629,37,Ceara,15,3,53.0,357,73.0,14,0,0,3,7
15258,7631,37,Palmeiras,4,0,28.0,249,62.0,10,1,0,0,1
15259,7631,37,Athletico-PR,23,4,72.0,600,83.0,11,1,0,4,8
15260,7630,37,Sao Paulo,13,6,54.0,356,78.0,25,5,0,0,7
15261,7630,37,Juventude,9,3,46.0,291,79.0,13,3,0,1,6
15262,7632,37,Cuiaba,8,1,36.0,279,71.0,22,1,0,4,1
15263,7632,37,Fortaleza,13,3,64.0,489,82.0,23,3,0,1,2
15264,7633,37,Internacional,23,6,61.0,535,86.0,14,3,0,3,11
15265,7633,37,Atletico-GO,11,4,39.0,365,81.0,9,2,0,0,3
15266,7634,37,Santos,9,4,36.0,280,75.0,14,3,0,4,1
15267,7634,37,Flamengo,9,4,64.0,482,87.0,23,3,0,3,5
15268,7635,37,Sport,25,4,71.0,526,88.0,27,4,0,0,3
15269,7635,37,Chapecoense,14,6,29.0,213,73.0,16,3,1,0,6
15270,7642,38,Athletico-PR,7,4,37.0,338,81.0,14,1,0,0,4
15271,7642,38,Sport,18,6,63.0,569,89.0,17,1,0,1,6
15272,7636,38,Bahia,9,6,48.0,312,72.0,17,2,0,1,3
15273,7636,38,Fortaleza,14,6,52.0,338,80.0,15,4,0,3,6
15274,7637,38,Flamengo,12,6,48.0,439,88.0,7,2,0,0,6
15275,7637,38,Atletico-GO,13,3,52.0,466,88.0,15,4,0,1,4
15276,7638,38,Palmeiras,12,2,31.0,289,69.0,18,2,0,2,5
15277,7638,38,Ceara,31,9,69.0,620,85.0,4,0,0,0,8
15278,7639,38,Fluminense,22,8,68.0,541,88.0,12,3,0,1,9
15279,7639,38,Chapecoense,3,0,32.0,260,72.0,10,2,0,2,3
15280,7640,38,Sao Paulo,11,2,55.0,463,80.0,18,2,0,0,5
15281,7640,38,America-MG,19,4,45.0,383,75.0,18,2,0,2,5
15282,7641,38,Internacional,4,1,56.0,474,78.0,26,5,0,0,2
15283,7641,38,Bragantino,23,4,44.0,370,80.0,23,4,0,3,4
15284,7643,38,Juventude,17,6,44.0,404,78.0,10,1,0,0,11
15285,7643,38,Corinthians,1,1,56.0,519,85.0,22,2,1,0,4
15286,7644,38,Gremio,7,4,37.0,328,83.0,15,3,0,1,3
15287,7644,38,Atletico-MG,13,7,63.0,548,88.0,11,1,0,0,9
15288,7645,38,Santos,13,5,62.0,513,84.0,17,1,0,0,6
15289,7645,38,Cuiaba,8,3,38.0,321,72.0,15,2,0,1,4
15290,7646,1,Santos,3,1,34.0,286,71.0,18,0,0,4,1
15291,7646,1,Fluminense,26,6,66.0,545,88.0,14,1,0,0,8
15292,7647,1,Flamengo,12,3,56.0,502,87.0,11,2,0,2,10
15293,7647,1,Atletico-GO,10,3,44.0,403,82.0,7,3,0,1,4
15294,7648,1,Ceara,19,9,44.0,309,69.0,14,8,1,0,8
15295,7648,1,Palmeiras,17,4,56.0,377,81.0,17,4,0,3,11
15296,7649,1,Coritiba,17,9,52.0,449,85.0,10,2,0,3,7
